Team,Conference,latitude,longitude,teamColor1,teamColor2,home
Titans,AFC,36.166461,-86.771289,#648FCC,#FF0000,Bengals
Giants,NFC,40.812194,-74.076983,#192F6B,#CA001A
Steelers,AFC,40.446786,-80.015761,#000000,#F2C800,Panthers
Panthers,NFC,35.225808,-80.852861,#000000,#0088CE
Ravens,AFC,39.277969,-76.622767,#280353,#000000,Browns
Buccaneers,NFC,27.975967,-82.50335,#D60A0B,#89765F,Falcons
Colts,AFC,39.760056,-86.163806,#003B7B,#FFFFFF,Jaguars
Vikings,NFC,44.973881,-93.258094,#4F2682,#FFC52F,Saints
Cardinals,NFC,33.5277,-112.262608,#870619,#000000
Cowboys,NFC,32.747778,-97.092778,#002244,#8C8B8A,Rams
Falcons,NFC,33.757614,-84.400972,#BD0D18,#000000
Jets,AFC,40.812194,-74.076983,#0C371D,#FFFFFF
Broncos,AFC,39.743936,-105.020097,#FB4F14,#002244,Seahawks
Dolphins,AFC,25.957919,-80.238842,#008D97,#F5811F
Eagles,NFC,39.900775,-75.167453,#003B48,#000000
Bears,NFC,41.862306,-87.616672,#03202F,#DD4814,Jets
Patriots,AFC,42.090925,-71.26435,#0D254C,#C80815
Redskins,NFC,38.907697,-76.864517,#773141,#FFB612,Eagles
Packers,NFC,44.501306,-88.062167,#213D30,#FFCC00,Lions
Chargers,AFC,32.783117,-117.119525,#5B92E5,#EEC607,Bills
Saints,NFC,29.950931,-90.081364,#D2B887,#000000
Texans,AFC,29.684781,-95.410956,#02253A,#B31B34,Giants
Bills,AFC,42.773739,-78.786978,#00338D,#C60C30
Niners,NFC,37.713486,-122.386256,#AF1E2C,#E6BE8A,Cardinals
Jaguars,AFC,30.323925,-81.637356,#D0B239,#007198
Browns,AFC,41.506022,-81.699564,#26201E,#E34912
Raiders,AFC,37.600735,-121.609001,#C4C8CB,#000000,Patriots
Chiefs,AFC,39.048914,-94.484039,#B20032,#FFFFFF,Dolphins
Rams,NFC,38.632975,-90.188547,#13264B,#C9AF74
Seahawks,NFC,47.595153,-122.331625,#06192E,#4EAE47
Bengals,AFC,39.095442,-84.516039,#000000,#FB4F14
Lions,NFC,42.340156,-83.045808,#006DB0,#C5C7CF
